# L9 File Metrics
# =================
# Format: path/to/file.py | Lines: N | Classes: N | Functions: N
# Use for: Finding large files, complexity hotspots

| File | Lines | Classes | Functions | Async |
| `core/schemas/research_factory_nodes.py` | 444 | 0 | 1 | 5 |
| `simulation/outcome_evaluator.py` | 444 | 6 | 14 | 0 |
| `agents/codegenagent/c_gmp_engine.py` | 444 | 2 | 7 | 4 |
| `runtime/gmp_worker.py` | 442 | 1 | 1 | 12 |
| `core/schemas/schema_registry.py` | 440 | 3 | 21 | 0 |
| `tests/integration/test_kernel_evolution_flow.py` | 439 | 7 | 11 | 12 |
| `tests/ir_engine/conftest.py` | 439 | 0 | 14 | 0 |
| `api/adapters/calendar_adapter/adapters/calendar_adapter_adapter.py` | 438 | 4 | 4 | 7 |
| `memory/housekeeping.py` | 437 | 1 | 5 | 7 |
| `igor/audit-memory/memory_housekeeping.py` | 437 | 1 | 5 | 7 |
| `api/adapters/email_adapter/adapters/email_adapter_adapter.py` | 436 | 4 | 4 | 7 |
| `api/adapters/twilio_adapter/adapters/twilio_adapter_adapter.py` | 436 | 4 | 4 | 7 |
| `scripts/audit/L9_AUDIT_SUITE_EXPANSION/audit_infrastructure_health.py` | 435 | 7 | 7 | 5 |
| `tests/api/test_slack_adapter.py` | 433 | 8 | 24 | 7 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/module.twilio_adapter/adapters/twilio_adapter_adapter.py` | 432 | 4 | 4 | 7 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/module.calendar_adapter/adapters/calendar_adapter_adapter.py` | 432 | 4 | 4 | 7 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/module.email_adapter/adapters/email_adapter_adapter.py` | 432 | 4 | 4 | 7 |
| `services/slack_files.py` | 432 | 0 | 6 | 0 |
| `_archived/codegen_slack_adapter/Slack-Audit-Pack/slack-adapter-complete.py` | 431 | 6 | 8 | 4 |
| `tests/smoke_email.py` | 428 | 2 | 12 | 10 |
| `igor/audit-memory/mcp_memory_src_mcp_server.py` | 428 | 2 | 1 | 1 |
| `ir_engine/schema_validator.py` | 426 | 2 | 14 | 0 |
| `scripts/audit/L9_AUDIT_SUITE_EXPANSION/audit_code_integrity.py` | 423 | 8 | 16 | 0 |
| `ir_engine/constraint_challenger.py` | 420 | 2 | 8 | 3 |
| `collaborative_cells/reflection_cell.py` | 419 | 1 | 5 | 6 |
| `api/world_model_api.py` | 418 | 12 | 1 | 9 |
| `services/symbolic_computation/core.py` | 418 | 4 | 8 | 5 |
| `scripts/init_workspace_NEW.py` | 417 | 0 | 6 | 0 |
| `igor/01-07-2026/L9 Memory Substrate Audit/script.py` | 417 | 0 | 0 | 0 |
| `tests/ir_engine/test_ir_semantic_incremental.py` | 415 | 3 | 1 | 10 |
| `core/tools/agent_self_modify.py` | 414 | 1 | 2 | 4 |
| `api/routes/factory.py` | 413 | 7 | 0 | 8 |
| `core/integration/tool_pattern_extractor.py` | 412 | 1 | 6 | 8 |
| `core/schemas/packet_envelope_v2.py` | 412 | 12 | 6 | 0 |
| `igor/audit-tools/services_research_tools_perplexity_client.py` | 412 | 5 | 5 | 7 |
| `services/research/tools/perplexity_client.py` | 412 | 5 | 5 | 7 |
| `upgrades/packet_envelope/integration.py` | 411 | 4 | 4 | 8 |
| `ir_engine/semantic_compiler.py` | 411 | 1 | 9 | 3 |
| `igor/audit-memory/memory_substrate_models.py` | 409 | 21 | 1 | 0 |
| `api/routes/slack.py` | 406 | 0 | 4 | 4 |
| `core/governance/engine.py` | 405 | 2 | 11 | 3 |
| `tests/conftest.py` | 404 | 4 | 30 | 14 |
| `core/agents/schemas.py` | 402 | 11 | 5 | 0 |
| `core/boundary/enforcer.py` | 395 | 2 | 14 | 0 |
| `runtime/task_queue.py` | 395 | 2 | 4 | 8 |
| `collaborative_cells/base_cell.py` | 393 | 6 | 9 | 4 |
| `tests/integration/test_tool_observability_integration.py` | 392 | 7 | 10 | 12 |
| `ir_engine/ir_validator.py` | 391 | 1 | 11 | 0 |
| `core/agents/graph_state/bootstrap_l_graph.py` | 388 | 0 | 0 | 2 |
| `core/agents/graph_state/graph_hydrator.py` | 388 | 2 | 4 | 4 |
| `core/commands/intent_extractor.py` | 388 | 0 | 5 | 2 |
| `services/symbolic_computation/api/routes.py` | 388 | 4 | 5 | 8 |
| `core/compliance/audit_reporter.py` | 386 | 2 | 3 | 7 |
| `core/kernels/integrity.py` | 383 | 1 | 10 | 0 |
| `tests/integration/test_compliance_audit.py` | 382 | 5 | 5 | 10 |
| `core/aios/runtime.py` | 379 | 1 | 5 | 2 |
| `ir_engine/simulation_router.py` | 379 | 4 | 10 | 3 |
| `collaborative_cells/reviewer_cell.py` | 376 | 1 | 3 | 6 |
| `tests/core/schemas/test_schema_registry.py` | 376 | 7 | 20 | 0 |
| `collaborative_cells/coder_cell.py` | 373 | 1 | 3 | 6 |
| `codegen/code-gen-files/examples_symbolic_computation.py` | 373 | 1 | 3 | 14 |
| `core/compliance/audit_log.py` | 372 | 1 | 1 | 5 |
| `tests/integration/test_kernel_hot_reload.py` | 372 | 6 | 14 | 4 |
| `services/research/memory_adapter.py` | 372 | 1 | 6 | 6 |
